,,,,,Notes
Macro,,,,,
,2024 National,,,,
,,"2024 US GDP, $bn","$29,180",,U.S. Bureau of Economic Analysis
,,"2024 Market Value Residential US Real Estate, $bn","$49,700",,"Federal Reserve's Financial Accounts of the United States, specifically the Z.1 Financial Accounts, Table B.101: Balance Sheet of Households and Nonprofit Organizations, for Q4 202"
,,"2024 Market Value Residential US Mortgage Debt, $bn","$12,500",,"Federal Reserve's Financial Accounts of the United States, specifically the Z.1 Financial Accounts, Table B.101: Balance Sheet of Households and Nonprofit Organizations, for Q4 202"
,,"2024 Market Value Residential US Mortgage Debt, $bn","$37,200",,"Federal Reserve's Financial Accounts of the United States, specifically the Z.1 Financial Accounts, Table B.101: Balance Sheet of Households and Nonprofit Organizations, for Q4 202"
,,,,,
Scenario Assumptions,,,,,
,,Average Home Price,"$412,000",,National Association of Realtors
,,Median Salary,"$63,000",,Bureau of Labor Statistics
,,,,,
,Real Estate Commissions,,,,
,,"Buyer, national avg.",2.58%,,National Association of Realtors
,,"Seller, national avg.",2.74%,,National Association of Realtors
,,,,,
,Mortgage,,,,
,,Loan-to-Value,90%,,
,,Loan Amount:,"$370,800",,
,,Duration,30,,
,,"Commission : Rate Increase, Ratio",2.0x,,Empirical ratio that can be found by toggling commissions on/off in any broker/lender pricing system. Can vary over time due to market competitive dynamics.
,,Lender Commission,2.00%,,"Baseline retail lender commission is 2.00%. When both lender and broker, lender commission is reduced to 1.00% and broker commission is 2.00%. So represented here as baseline commission of 2.00% with incremental 1.00% added when broker is used in addition to lender."
,,Broker Commission,1.00%,,"Baseline retail lender commission is 2.00%. When both lender and broker, lender commission is reduced to 1.00% and broker commission is 2.00%. So represented here as baseline commission of 2.00% with incremental 1.00% added when broker is used in addition to lender."
,,,,,
,,"No Commission Mortgage Rate (""Par Rate"")",6.25%,,
,,With Lender Rate-Embedded Commission,7.25%,,
,,With Broker Rate-Embedded Commission,7.75%,,
,,,,,
,,Average Hold Period,7,,Fannie Mae Research (link)
,,,,,
,Title Insurance,,,,
,,Title Insurance as % House Price,0.70%,,"ALTA (American Land Title Association) and regional data confirm 0.5–0.7% as common for standard policies, with higher rates (up to 1%) in high-cost states like NY or CA or for complex transactions. Fed uses .70%"
,,,,,
US National Transaction Volumes,,,,,
,,Total Transactions,"5,000,000",,"Federal Reserve includes existing home sales, new home sales, muti-family, condos, forclosure, secondary sales. NAR reports 4.7m but excludes 300k condos, mult-family."
,,% with Buyers Agent,88%,,National Association of Realtors
,,% with Sellers Agent,89%,,National Association of Realtors
,,% with Mortgage Broker,33%,,HMDA
,,% with Lender,66%,,HMDA
,,% with Appraiser,100%,,
,,% with Inspector,100%,,
,,% with Title Agent,100%,,
,,% with Escrow Agent,100%,,
,,% with Title Insurance,100%,,
,,,,,
Buyer Agent,,,,,
,Centralized,,,,
,,Data,"$2,500",,Lead platforms like Zillow Premier Agent
,,Tech,"$1,270",,"MLS access $720 per year; $200 NAR fee per year, $150 licensing fee, $200 Continuing Education"
,,Net Commission,"$6,860",,
,,Excess Interest,$0,,
,Decentralized,,,,
,,Data,$750,,Oracle-driven targeting
,,Tech,$100,,"eflects execution and infrastructure costs of smart contracts, including storage, computation, and user interface upkeep across decentralized chains (e.g., Ethereum L2s or Polygon).” Source: Ethereum Gas Tracker, Polygon Fees"
,,Net Commission,"$1,150",,Advising and showing support
,,Excess Interest,$0,,
,,,,,
Seller Agent,,,,,
,Centralized,,,,
,,Data,"$2,500",,
,,Tech,"$1,250",,"MLS access $720 per year; $200 NAR fee per year, $150 licensing fee, $200 Continuing Education"
,,Net Commission,"$7,539",,
,,Excess Interest,$0,,
,Decentralized,,,,
,,Data,$750,,
,,Tech,$100,,
,,Net Commission,"$1,150",,
,,Excess Interest,$0,,
,,,,,
